model,task,method,shot,pass@1,pass@1_40,pass@1_185,pass@1_294,pass@1_480,pass@1_638,std_pass@1
gpt-20b,java,naive,3-shot,pass@1,6.52,14.35,8.7,13.91,21.3,5.74
gpt-20b,java,retrieval,3-shot,pass@1,19.57,22.17,23.48,24.35,27.83,3.03
gpt-20b,java,zero,0-shot,pass@1,29.13,30.87,26.96,22.61,25.22,3.24
gpt-20b,python,naive,3-shot,pass@1,13.48,14.35,15.65,19.13,17.39,2.29
gpt-20b,python,retrieval,3-shot,pass@1,12.61,15.22,15.65,16.09,13.48,1.49
gpt-20b,python,zero,0-shot,pass@1,10.0,16.96,16.52,15.65,13.48,2.86
qwen2.5-1.5b,java,naive,3-shot,pass@1,32.61,29.57,31.3,33.04,33.04,1.49
qwen2.5-1.5b,java,retrieval,3-shot,pass@1,32.17,30.0,31.3,31.3,31.3,0.78
qwen2.5-1.5b,java,zero,0-shot,pass@1,33.48,33.91,24.78,24.35,24.78,4.97
qwen2.5-1.5b,python,naive,3-shot,pass@1,20.0,20.87,20.0,20.87,20.0,0.48
qwen2.5-1.5b,python,retrieval,3-shot,pass@1,18.26,17.39,17.39,16.52,16.52,0.73
qwen2.5-1.5b,python,zero,0-shot,pass@1,19.57,18.7,19.57,18.26,18.7,0.59
qwen2.5-14b,java,naive,3-shot,pass@1,29.13,18.7,14.35,27.39,14.35,7.08
qwen2.5-14b,java,retrieval,3-shot,pass@1,36.96,36.96,36.52,33.91,24.78,5.21
qwen2.5-14b,java,zero,0-shot,pass@1,35.22,16.09,18.7,2.61,0.43,14.04
qwen2.5-14b,python,naive,3-shot,pass@1,24.35,23.91,23.91,24.78,22.61,0.81
qwen2.5-14b,python,retrieval,3-shot,pass@1,25.22,26.52,24.78,23.91,23.48,1.19
qwen2.5-14b,python,zero,0-shot,pass@1,21.74,24.78,25.22,24.35,23.48,1.37
qwen2.5-32b,java,naive,3-shot,pass@1,37.39,37.39,13.48,11.74,4.35,15.47
qwen2.5-32b,java,retrieval,3-shot,pass@1,37.83,40.43,17.39,13.48,5.22,15.51
qwen2.5-32b,java,zero,0-shot,pass@1,38.7,40.0,4.35,6.52,0.0,19.71
qwen2.5-32b,python,naive,3-shot,pass@1,23.04,24.35,24.78,22.17,22.61,1.13
qwen2.5-32b,python,retrieval,3-shot,pass@1,24.78,25.22,27.39,25.22,25.65,1.02
qwen2.5-32b,python,zero,0-shot,pass@1,24.35,23.91,23.91,23.48,21.74,1.02
qwen2.5-3b,java,naive,3-shot,pass@1,26.09,29.13,31.74,25.22,24.35,3.06
qwen2.5-3b,java,retrieval,3-shot,pass@1,34.78,37.39,29.13,23.04,23.04,6.59
qwen2.5-3b,java,zero,0-shot,pass@1,33.48,33.91,25.22,12.61,6.96,12.22
qwen2.5-3b,python,naive,3-shot,pass@1,18.26,17.83,18.26,18.26,17.39,0.39
qwen2.5-3b,python,retrieval,3-shot,pass@1,21.74,19.13,20.43,20.43,20.0,0.94
qwen2.5-3b,python,zero,0-shot,pass@1,20.43,21.3,20.43,20.0,21.3,0.58
qwen2.5-7b,java,naive,3-shot,pass@1,37.83,38.7,34.35,29.13,30.0,4.38
qwen2.5-7b,java,retrieval,3-shot,pass@1,35.65,40.43,30.87,27.83,27.39,5.55
qwen2.5-7b,java,zero,0-shot,pass@1,37.83,37.83,18.26,23.04,22.61,9.24
qwen2.5-7b,python,naive,3-shot,pass@1,21.3,21.3,22.17,23.48,23.91,1.22
qwen2.5-7b,python,retrieval,3-shot,pass@1,23.48,23.91,21.74,23.04,22.17,0.9
qwen2.5-7b,python,zero,0-shot,pass@1,19.13,23.04,20.87,23.48,22.17,1.77
