model,task,method,shot,codebleu,codebleu_40,codebleu_185,codebleu_294,codebleu_480,codebleu_638
gpt-20b,java,naive,3-shot,codebleu,36.06,35.81,35.57,36.38,38.43
gpt-20b,java,retrieval,3-shot,codebleu,37.97,39.37,40.67,40.51,39.07
gpt-20b,java,zero,0-shot,codebleu,35.31,40.89,40.07,40.09,38.49
gpt-20b,python,naive,3-shot,codebleu,23.57,26.76,26.38,27.52,26.63
gpt-20b,python,retrieval,3-shot,codebleu,22.30,29.24,26.76,28.52,28.03
gpt-20b,python,zero,0-shot,codebleu,21.14,25.01,25.51,25.72,24.01
qwen2.5-1.5b,java,naive,3-shot,codebleu,35.71,34.05,35.13,35.88,36.38
qwen2.5-1.5b,java,retrieval,3-shot,codebleu,41.78,40.43,41.72,42.83,42.11
qwen2.5-1.5b,java,zero,0-shot,codebleu,38.82,39.25,40.77,40.88,41.49
qwen2.5-1.5b,python,naive,3-shot,codebleu,23.99,23.61,23.41,24.06,23.51
qwen2.5-1.5b,python,retrieval,3-shot,codebleu,28.87,28.26,28.19,28.12,27.02
qwen2.5-1.5b,python,zero,0-shot,codebleu,23.85,21.29,20.39,21.83,21.76
qwen2.5-14b,java,naive,3-shot,codebleu,37.11,35.56,36.82,43.01,41.51
qwen2.5-14b,java,retrieval,3-shot,codebleu,46.63,45.24,47.10,45.77,44.72
qwen2.5-14b,java,zero,0-shot,codebleu,43.63,41.42,43.98,43.34,42.75
qwen2.5-14b,python,naive,3-shot,codebleu,26.90,26.39,26.59,29.47,29.30
qwen2.5-14b,python,retrieval,3-shot,codebleu,32.80,30.75,31.62,31.60,32.01
qwen2.5-14b,python,zero,0-shot,codebleu,29.92,22.46,25.00,29.95,30.09
qwen2.5-32b,java,naive,3-shot,codebleu,43.48,41.87,43.19,42.52,40.76
qwen2.5-32b,java,retrieval,3-shot,codebleu,47.16,45.43,45.62,44.44,44.20
qwen2.5-32b,java,zero,0-shot,codebleu,42.88,44.83,41.67,41.45,42.54
qwen2.5-32b,python,naive,3-shot,codebleu,29.22,29.20,28.80,29.25,30.46
qwen2.5-32b,python,retrieval,3-shot,codebleu,30.56,32.42,30.25,30.49,30.22
qwen2.5-32b,python,zero,0-shot,codebleu,29.42,21.13,22.93,26.53,27.95
qwen2.5-3b,java,naive,3-shot,codebleu,33.69,37.58,39.78,40.18,39.98
qwen2.5-3b,java,retrieval,3-shot,codebleu,42.27,43.17,43.49,42.03,42.02
qwen2.5-3b,java,zero,0-shot,codebleu,40.93,42.32,41.58,42.11,42.00
qwen2.5-3b,python,naive,3-shot,codebleu,25.48,25.62,25.20,26.16,26.03
qwen2.5-3b,python,retrieval,3-shot,codebleu,28.78,29.34,28.40,29.11,28.36
qwen2.5-3b,python,zero,0-shot,codebleu,26.13,25.13,26.08,26.85,28.39
qwen2.5-7b,java,naive,3-shot,codebleu,39.93,38.49,41.12,43.50,42.39
qwen2.5-7b,java,retrieval,3-shot,codebleu,45.18,44.15,44.49,44.35,44.17
qwen2.5-7b,java,zero,0-shot,codebleu,42.86,39.99,42.83,42.69,42.37
qwen2.5-7b,python,naive,3-shot,codebleu,27.68,26.99,26.24,26.91,26.77
qwen2.5-7b,python,retrieval,3-shot,codebleu,31.76,30.41,30.85,31.33,30.32
qwen2.5-7b,python,zero,0-shot,codebleu,27.30,22.28,25.01,26.30,26.12
