model,task,method,shot,metric,min,max
gpt-20b,java,naive,3-shot,pass@1,32.0800,47.1700
gpt-20b,java,retrieval,3-shot,pass@1,30.1900,49.0600
gpt-20b,java,zero,0-shot,pass@1,37.7400,66.0400
gpt-20b,python,naive,3-shot,pass@1,54.0000,70.0000
gpt-20b,python,retrieval,3-shot,pass@1,52.0000,70.0000
gpt-20b,python,zero,0-shot,pass@1,72.0000,82.0000
qwen2.5-1.5b,java,naive,3-shot,pass@1,41.5100,47.1700
qwen2.5-1.5b,java,retrieval,3-shot,pass@1,49.0600,56.6000
qwen2.5-1.5b,java,zero,0-shot,pass@1,47.1700,52.8300
qwen2.5-1.5b,python,naive,3-shot,pass@1,40.0000,44.0000
qwen2.5-1.5b,python,retrieval,3-shot,pass@1,40.0000,44.0000
qwen2.5-1.5b,python,zero,0-shot,pass@1,40.0000,46.0000
qwen2.5-14b,java,naive,3-shot,pass@1,64.1500,69.8100
qwen2.5-14b,java,retrieval,3-shot,pass@1,69.8100,75.4700
qwen2.5-14b,java,zero,0-shot,pass@1,71.7000,79.2500
qwen2.5-14b,python,naive,3-shot,pass@1,54.0000,68.0000
qwen2.5-14b,python,retrieval,3-shot,pass@1,60.0000,72.0000
qwen2.5-14b,python,zero,0-shot,pass@1,66.0000,72.0000
qwen2.5-32b,java,naive,3-shot,pass@1,3.7700,9.4300
qwen2.5-32b,java,retrieval,3-shot,pass@1,75.4700,81.1300
qwen2.5-32b,java,zero,0-shot,pass@1,79.2500,88.6800
qwen2.5-32b,python,naive,3-shot,pass@1,16.0000,52.0000
qwen2.5-32b,python,retrieval,3-shot,pass@1,68.0000,78.0000
qwen2.5-32b,python,zero,0-shot,pass@1,66.0000,76.0000
qwen2.5-3b,java,naive,3-shot,pass@1,52.8300,58.4900
qwen2.5-3b,java,retrieval,3-shot,pass@1,45.2800,58.4900
qwen2.5-3b,java,zero,0-shot,pass@1,49.0600,64.1500
qwen2.5-3b,python,naive,3-shot,pass@1,38.0000,46.0000
qwen2.5-3b,python,retrieval,3-shot,pass@1,42.0000,46.0000
qwen2.5-3b,python,zero,0-shot,pass@1,44.0000,50.0000
qwen2.5-7b,java,naive,3-shot,pass@1,7.5500,20.7500
qwen2.5-7b,java,retrieval,3-shot,pass@1,73.5800,75.4700
qwen2.5-7b,java,zero,0-shot,pass@1,67.9200,79.2500
qwen2.5-7b,python,naive,3-shot,pass@1,58.0000,66.0000
qwen2.5-7b,python,retrieval,3-shot,pass@1,52.0000,60.0000
qwen2.5-7b,python,zero,0-shot,pass@1,58.0000,58.0000
