model,task,method,shot,pass@1,pass@1_40,pass@1_185,pass@1_294,pass@1_480,pass@1_638
gpt-20b,java,naive,3-shot,pass@1,47.17,41.51,32.08,35.85,35.85
gpt-20b,java,retrieval,3-shot,pass@1,30.19,49.06,47.17,45.28,43.40
gpt-20b,java,zero,0-shot,pass@1,37.74,66.04,47.17,50.94,41.51
gpt-20b,python,naive,3-shot,pass@1,54.00,68.00,70.00,62.00,66.00
gpt-20b,python,retrieval,3-shot,pass@1,52.00,66.00,70.00,70.00,70.00
gpt-20b,python,zero,0-shot,pass@1,72.00,82.00,74.00,78.00,76.00
qwen2.5-1.5b,java,naive,3-shot,pass@1,47.17,41.51,45.28,43.40,43.40
qwen2.5-1.5b,java,retrieval,3-shot,pass@1,49.06,56.60,50.94,54.72,54.72
qwen2.5-1.5b,java,zero,0-shot,pass@1,49.06,52.83,50.94,47.17,50.94
qwen2.5-1.5b,python,naive,3-shot,pass@1,44.00,44.00,42.00,40.00,40.00
qwen2.5-1.5b,python,retrieval,3-shot,pass@1,44.00,40.00,40.00,40.00,40.00
qwen2.5-1.5b,python,zero,0-shot,pass@1,42.00,46.00,42.00,40.00,40.00
qwen2.5-14b,java,naive,3-shot,pass@1,69.81,69.81,64.15,64.15,67.92
qwen2.5-14b,java,retrieval,3-shot,pass@1,75.47,73.58,75.47,69.81,71.70
qwen2.5-14b,java,zero,0-shot,pass@1,71.70,79.25,77.36,71.70,75.47
qwen2.5-14b,python,naive,3-shot,pass@1,64.00,62.00,54.00,68.00,66.00
qwen2.5-14b,python,retrieval,3-shot,pass@1,72.00,72.00,60.00,64.00,62.00
qwen2.5-14b,python,zero,0-shot,pass@1,72.00,66.00,66.00,66.00,68.00
qwen2.5-32b,java,naive,3-shot,pass@1,5.66,9.43,3.77,9.43,7.55
qwen2.5-32b,java,retrieval,3-shot,pass@1,81.13,79.25,79.25,75.47,81.13
qwen2.5-32b,java,zero,0-shot,pass@1,79.25,88.68,86.79,81.13,79.25
qwen2.5-32b,python,naive,3-shot,pass@1,52.00,16.00,24.00,30.00,36.00
qwen2.5-32b,python,retrieval,3-shot,pass@1,68.00,72.00,72.00,78.00,70.00
qwen2.5-32b,python,zero,0-shot,pass@1,76.00,68.00,66.00,66.00,66.00
qwen2.5-3b,java,naive,3-shot,pass@1,58.49,58.49,54.72,52.83,52.83
qwen2.5-3b,java,retrieval,3-shot,pass@1,58.49,52.83,50.94,49.06,45.28
qwen2.5-3b,java,zero,0-shot,pass@1,52.83,64.15,49.06,50.94,50.94
qwen2.5-3b,python,naive,3-shot,pass@1,46.00,38.00,44.00,44.00,42.00
qwen2.5-3b,python,retrieval,3-shot,pass@1,44.00,44.00,44.00,42.00,46.00
qwen2.5-3b,python,zero,0-shot,pass@1,50.00,48.00,44.00,46.00,48.00
qwen2.5-7b,java,naive,3-shot,pass@1,15.09,15.09,15.09,7.55,20.75
qwen2.5-7b,java,retrieval,3-shot,pass@1,75.47,75.47,75.47,73.58,73.58
qwen2.5-7b,java,zero,0-shot,pass@1,79.25,73.58,75.47,67.92,69.81
qwen2.5-7b,python,naive,3-shot,pass@1,62.00,60.00,58.00,62.00,66.00
qwen2.5-7b,python,retrieval,3-shot,pass@1,60.00,52.00,58.00,58.00,56.00
qwen2.5-7b,python,zero,0-shot,pass@1,58.00,58.00,58.00,58.00,58.00
