method,task,prompt,combined_sum,missing_info
naive,java,40,40.57,
naive,java,185,39.31,
naive,java,294,35.85,
naive,java,480,35.54,
naive,java,638,38.05,
naive,python,40,53.67,
naive,python,185,48.0,
naive,python,294,48.67,
naive,python,480,51.0,
naive,python,638,52.67,
retrieval,java,40,61.63,
retrieval,java,185,64.46,
retrieval,java,294,63.21,
retrieval,java,480,61.32,
retrieval,java,638,61.63,
retrieval,python,40,56.67,
retrieval,python,185,57.67,
retrieval,python,294,57.33,
retrieval,python,480,58.67,
retrieval,python,638,57.33,
zero,java,40,61.64,
zero,java,185,70.76,
zero,java,294,64.46,
zero,java,480,61.63,
zero,java,638,61.32,
zero,python,40,61.67,
zero,python,185,61.33,
zero,python,294,58.33,
zero,python,480,59.0,
zero,python,638,59.33,
