model,task,method,shot,score_min,score_max
gpt-20b,java,naive,3-shot,32.08,47.17
gpt-20b,java,retrieval,3-shot,30.19,49.06
gpt-20b,java,zero,0-shot,37.74,66.04
gpt-20b,python,naive,3-shot,54.0,70.0
gpt-20b,python,retrieval,3-shot,52.0,70.0
gpt-20b,python,zero,0-shot,72.0,82.0
qwen2.5-1.5b,java,naive,3-shot,41.51,47.17
qwen2.5-1.5b,java,retrieval,3-shot,49.06,56.6
qwen2.5-1.5b,java,zero,0-shot,47.17,52.83
qwen2.5-1.5b,python,naive,3-shot,40.0,44.0
qwen2.5-1.5b,python,retrieval,3-shot,40.0,44.0
qwen2.5-1.5b,python,zero,0-shot,40.0,46.0
qwen2.5-14b,java,naive,3-shot,64.15,69.81
qwen2.5-14b,java,retrieval,3-shot,69.81,75.47
qwen2.5-14b,java,zero,0-shot,71.7,79.25
qwen2.5-14b,python,naive,3-shot,54.0,68.0
qwen2.5-14b,python,retrieval,3-shot,60.0,72.0
qwen2.5-14b,python,zero,0-shot,66.0,72.0
qwen2.5-32b,java,naive,3-shot,3.77,9.43
qwen2.5-32b,java,retrieval,3-shot,75.47,81.13
qwen2.5-32b,java,zero,0-shot,79.25,88.68
qwen2.5-32b,python,naive,3-shot,16.0,52.0
qwen2.5-32b,python,retrieval,3-shot,68.0,78.0
qwen2.5-32b,python,zero,0-shot,66.0,76.0
qwen2.5-3b,java,naive,3-shot,52.83,58.49
qwen2.5-3b,java,retrieval,3-shot,45.28,58.49
qwen2.5-3b,java,zero,0-shot,49.06,64.15
qwen2.5-3b,python,naive,3-shot,38.0,46.0
qwen2.5-3b,python,retrieval,3-shot,42.0,46.0
qwen2.5-3b,python,zero,0-shot,44.0,50.0
qwen2.5-7b,java,naive,3-shot,7.55,20.75
qwen2.5-7b,java,retrieval,3-shot,73.58,75.47
qwen2.5-7b,java,zero,0-shot,67.92,79.25
qwen2.5-7b,python,naive,3-shot,58.0,66.0
qwen2.5-7b,python,retrieval,3-shot,52.0,60.0
qwen2.5-7b,python,zero,0-shot,58.0,58.0
