method,task,prompt,combined_sum,missing_info
naive,java,60,14.47,
naive,java,237,14.68,
naive,java,272,14.81,
naive,java,432,15.22,
naive,java,443,15.06,
naive,python,60,14.68,
naive,python,237,14.77,
naive,python,272,15.16,
naive,python,432,15.82,
naive,python,443,15.22,
retrieval,java,60,15.01,
retrieval,java,237,16.01,
retrieval,java,272,16.09,
retrieval,java,432,16.13,
retrieval,java,443,16.23,
retrieval,python,60,13.28,
retrieval,python,237,14.35,
retrieval,python,272,14.53,
retrieval,python,432,15.0,
retrieval,python,443,15.0,
zero,java,60,2.84,
zero,java,237,11.23,
zero,java,272,11.37,
zero,java,432,11.95,
zero,java,443,12.36,
zero,python,60,2.46,
zero,python,237,10.47,
zero,python,272,11.09,
zero,python,432,11.97,
zero,python,443,12.53,
