model,task,method,shot,bleu,bleu_min,bleu_max,F1,F1_min,F1_max,METEOR,METEOR_min,METEOR_max,CodeT5,CodeT5_min,CodeT5_max
gpt-20b,java,naive,3-shot,bleu,11.5600,13.0500,F1,0.2800,0.3000,METEOR,0.2700,0.3100,CodeT5,0.6400,0.7100
gpt-20b,java,retrieval,3-shot,bleu,13.0800,13.9100,F1,0.2800,0.2900,METEOR,0.2700,0.3200,CodeT5,0.6500,0.7100
gpt-20b,java,zero,0-shot,bleu,3.4500,11.2600,F1,0.0300,0.2400,METEOR,0.2000,0.2900,CodeT5,0.6300,0.8000
gpt-20b,python,naive,3-shot,bleu,10.7500,13.3300,F1,0.2600,0.2900,METEOR,0.2800,0.3100,CodeT5,0.6400,0.7100
gpt-20b,python,retrieval,3-shot,bleu,10.6300,12.4300,F1,0.2500,0.2600,METEOR,0.2500,0.3000,CodeT5,0.6400,0.7200
gpt-20b,python,zero,0-shot,bleu,5.2300,11.3400,F1,0.0200,0.2300,METEOR,0.2000,0.3000,CodeT5,0.6500,0.8200
qwen2.5-1.5b,java,naive,3-shot,bleu,12.5200,15.8600,F1,0.2600,0.3400,METEOR,0.2900,0.3000,CodeT5,0.5700,0.6800
qwen2.5-1.5b,java,retrieval,3-shot,bleu,13.9100,17.1700,F1,0.2600,0.3400,METEOR,0.2900,0.3200,CodeT5,0.6000,0.6700
qwen2.5-1.5b,java,zero,0-shot,bleu,2.7100,12.3700,F1,-0.0900,0.2800,METEOR,0.1600,0.3000,CodeT5,0.6700,0.8200
qwen2.5-1.5b,python,naive,3-shot,bleu,13.0600,16.3700,F1,0.2600,0.3400,METEOR,0.2800,0.3000,CodeT5,0.5700,0.6600
qwen2.5-1.5b,python,retrieval,3-shot,bleu,12.4200,15.8000,F1,0.2400,0.3200,METEOR,0.2600,0.2900,CodeT5,0.5700,0.6500
qwen2.5-1.5b,python,zero,0-shot,bleu,2.5100,12.4200,F1,-0.1300,0.2600,METEOR,0.1400,0.2900,CodeT5,0.6500,0.8500
qwen2.5-14b,java,naive,3-shot,bleu,15.7600,15.9900,F1,0.3400,0.3500,METEOR,0.3000,0.3200,CodeT5,0.5900,0.6200
qwen2.5-14b,java,retrieval,3-shot,bleu,16.4300,17.2000,F1,0.3400,0.3500,METEOR,0.3100,0.3400,CodeT5,0.6000,0.6600
qwen2.5-14b,java,zero,0-shot,bleu,3.2400,12.8300,F1,0.0100,0.2800,METEOR,0.2100,0.3100,CodeT5,0.6300,0.8000
qwen2.5-14b,python,naive,3-shot,bleu,15.9200,16.4000,F1,0.3100,0.3300,METEOR,0.3000,0.3200,CodeT5,0.5800,0.6200
qwen2.5-14b,python,retrieval,3-shot,bleu,15.2000,16.0600,F1,0.3200,0.3300,METEOR,0.2900,0.3200,CodeT5,0.5800,0.6300
qwen2.5-14b,python,zero,0-shot,bleu,2.5200,13.3400,F1,-0.0600,0.2700,METEOR,0.1700,0.3100,CodeT5,0.6200,0.8400
qwen2.5-32b,java,naive,3-shot,bleu,13.6200,15.2200,F1,0.3000,0.3300,METEOR,0.2800,0.3200,CodeT5,0.5800,0.6800
qwen2.5-32b,java,retrieval,3-shot,bleu,13.3900,15.5900,F1,0.3000,0.3200,METEOR,0.2800,0.3300,CodeT5,0.5900,0.7100
qwen2.5-32b,java,zero,0-shot,bleu,1.6600,11.8600,F1,-0.0100,0.2700,METEOR,0.1900,0.3000,CodeT5,0.5700,0.8000
qwen2.5-32b,python,naive,3-shot,bleu,13.7800,15.8900,F1,0.2800,0.3300,METEOR,0.2800,0.3200,CodeT5,0.5800,0.6800
qwen2.5-32b,python,retrieval,3-shot,bleu,11.4100,14.5200,F1,0.2700,0.3000,METEOR,0.2500,0.3100,CodeT5,0.5800,0.6900
qwen2.5-32b,python,zero,0-shot,bleu,0.6300,12.0900,F1,-0.0100,0.2500,METEOR,0.1900,0.3000,CodeT5,0.5900,0.8300
qwen2.5-3b,java,naive,3-shot,bleu,14.9400,15.8700,F1,0.3200,0.3400,METEOR,0.2900,0.3200,CodeT5,0.6000,0.6300
qwen2.5-3b,java,retrieval,3-shot,bleu,16.8700,17.2500,F1,0.3300,0.3400,METEOR,0.3100,0.3300,CodeT5,0.6000,0.6300
qwen2.5-3b,java,zero,0-shot,bleu,4.2500,13.2100,F1,0.0800,0.2900,METEOR,0.2300,0.3000,CodeT5,0.6400,0.7900
qwen2.5-3b,python,naive,3-shot,bleu,15.9600,16.9400,F1,0.3200,0.3500,METEOR,0.3000,0.3100,CodeT5,0.5800,0.6000
qwen2.5-3b,python,retrieval,3-shot,bleu,15.3500,16.1200,F1,0.3200,0.3200,METEOR,0.2900,0.3000,CodeT5,0.5800,0.6100
qwen2.5-3b,python,zero,0-shot,bleu,3.7000,13.2700,F1,0.0800,0.2700,METEOR,0.2300,0.3000,CodeT5,0.6300,0.8200
qwen2.5-7b,java,naive,3-shot,bleu,15.1300,15.8700,F1,0.3300,0.3500,METEOR,0.3000,0.3200,CodeT5,0.5900,0.6300
qwen2.5-7b,java,retrieval,3-shot,bleu,15.7900,16.7500,F1,0.3200,0.3400,METEOR,0.3000,0.3300,CodeT5,0.6000,0.6600
qwen2.5-7b,java,zero,0-shot,bleu,1.8100,12.8800,F1,-0.0900,0.2800,METEOR,0.1900,0.3100,CodeT5,0.6300,0.8300
qwen2.5-7b,python,naive,3-shot,bleu,15.1600,16.3600,F1,0.3200,0.3300,METEOR,0.2900,0.3200,CodeT5,0.5800,0.6300
qwen2.5-7b,python,retrieval,3-shot,bleu,14.0700,15.5200,F1,0.3100,0.3100,METEOR,0.2800,0.3000,CodeT5,0.5800,0.6400
qwen2.5-7b,python,zero,0-shot,bleu,0.3700,12.7100,F1,-0.3000,0.2600,METEOR,0.1300,0.3000,CodeT5,0.6300,0.8600
