model,task,method,shot,Bleu,Bleu_60,Bleu_237,Bleu_272,Bleu_432,Bleu_443,F1,F1_60,F1_237,F1_272,F1_432,F1_443,Meteor,Meteor_60,Meteor_237,Meteor_272,Meteor_432,Meteor_443,CodeT5+,CodeT5+_60,CodeT5+_237,CodeT5+_272,CodeT5+_432,CodeT5+_443
gpt-20b,java,naive,3-shot,Bleu,13.03,11.56,12.25,12.81,13.05,F1,0.30,0.28,0.29,0.29,0.28,Meteor,0.31,0.31,0.30,0.27,0.28,CodeT5,0.68,0.71,0.69,0.64,0.66
gpt-20b,java,retrieval,3-shot,Bleu,13.67,13.08,13.81,13.40,13.91,F1,0.28,0.28,0.29,0.28,0.28,Meteor,0.32,0.32,0.31,0.27,0.28,CodeT5,0.70,0.71,0.70,0.65,0.66
gpt-20b,java,zero,0-shot,Bleu,3.45,9.04,9.11,10.35,11.26,F1,0.03,0.23,0.22,0.22,0.24,Meteor,0.22,0.29,0.26,0.20,0.25,CodeT5,0.80,0.75,0.74,0.63,0.67
gpt-20b,python,naive,3-shot,Bleu,12.55,10.75,11.73,13.33,13.03,F1,0.28,0.26,0.28,0.29,0.27,Meteor,0.31,0.30,0.30,0.28,0.29,CodeT5,0.68,0.71,0.69,0.64,0.65
gpt-20b,python,retrieval,3-shot,Bleu,11.16,10.63,11.38,12.20,12.43,F1,0.25,0.25,0.26,0.26,0.25,Meteor,0.30,0.30,0.29,0.25,0.27,CodeT5,0.71,0.72,0.70,0.64,0.65
gpt-20b,python,zero,0-shot,Bleu,5.23,8.54,8.65,10.43,11.34,F1,0.02,0.22,0.21,0.21,0.23,Meteor,0.22,0.30,0.27,0.20,0.26,CodeT5,0.82,0.75,0.74,0.65,0.67
qwen2.5-1.5b,java,naive,3-shot,Bleu,12.52,15.84,15.86,15.75,15.40,F1,0.26,0.34,0.34,0.34,0.32,Meteor,0.29,0.30,0.29,0.29,0.29,CodeT5,0.68,0.59,0.58,0.57,0.59
qwen2.5-1.5b,java,retrieval,3-shot,Bleu,13.91,17.17,17.14,16.92,16.91,F1,0.26,0.34,0.34,0.33,0.34,Meteor,0.29,0.32,0.31,0.30,0.31,CodeT5,0.67,0.61,0.60,0.60,0.61
qwen2.5-1.5b,java,zero,0-shot,Bleu,2.70,12.17,12.03,11.11,12.37,F1,-0.09,0.28,0.28,0.25,0.28,Meteor,0.16,0.30,0.28,0.26,0.28,CodeT5,0.82,0.69,0.68,0.68,0.67
qwen2.5-1.5b,python,naive,3-shot,Bleu,13.06,16.37,16.17,16.23,14.88,F1,0.26,0.34,0.33,0.33,0.30,Meteor,0.28,0.30,0.29,0.28,0.29,CodeT5,0.66,0.58,0.58,0.57,0.60
