method,task,prompt,combined_sum,missing_info
gpt-20b,java,60,32.85,
gpt-20b,java,237,35.14,
gpt-20b,java,272,34.6,
gpt-20b,java,432,31.8,
gpt-20b,java,443,33.19,
gpt-20b,python,60,32.33,
gpt-20b,python,237,34.24,
gpt-20b,python,272,33.81,
gpt-20b,python,432,31.5,
gpt-20b,python,443,32.57,
qwen2.5-1.5b,java,60,30.26,
qwen2.5-1.5b,java,237,35.18,
qwen2.5-1.5b,java,272,34.59,
qwen2.5-1.5b,java,432,33.82,
qwen2.5-1.5b,java,443,34.47,
qwen2.5-1.5b,python,60,29.08,
qwen2.5-1.5b,python,237,34.07,
qwen2.5-1.5b,python,272,33.55,
qwen2.5-1.5b,python,432,32.58,
qwen2.5-1.5b,python,443,33.15,
qwen2.5-14b,java,60,33.3,
qwen2.5-14b,java,237,36.23,
qwen2.5-14b,java,272,35.5,
qwen2.5-14b,java,432,34.57,
qwen2.5-14b,java,443,34.07,
qwen2.5-14b,python,60,31.72,
qwen2.5-14b,python,237,35.34,
qwen2.5-14b,python,272,34.93,
qwen2.5-14b,python,432,33.51,
qwen2.5-14b,python,443,33.13,
qwen2.5-32b,java,60,32.56,
qwen2.5-32b,java,237,35.87,
qwen2.5-32b,java,272,35.3,
qwen2.5-32b,java,432,31.6,
qwen2.5-32b,java,443,32.02,
qwen2.5-32b,python,60,31.65,
qwen2.5-32b,python,237,35.02,
qwen2.5-32b,python,272,34.31,
qwen2.5-32b,python,432,31.19,
qwen2.5-32b,python,443,31.29,
qwen2.5-3b,java,60,33.58,
qwen2.5-3b,java,237,35.66,
qwen2.5-3b,java,272,34.85,
qwen2.5-3b,java,432,34.51,
qwen2.5-3b,java,443,34.46,
qwen2.5-3b,python,60,32.92,
qwen2.5-3b,python,237,34.56,
qwen2.5-3b,python,272,34.16,
qwen2.5-3b,python,432,33.67,
qwen2.5-3b,python,443,33.54,
qwen2.5-7b,java,60,32.2,
qwen2.5-7b,java,237,36.12,
qwen2.5-7b,java,272,35.22,
qwen2.5-7b,java,432,34.02,
qwen2.5-7b,java,443,34.12,
qwen2.5-7b,python,60,29.09,
qwen2.5-7b,python,237,34.73,
qwen2.5-7b,python,272,34.2,
qwen2.5-7b,python,432,33.03,
qwen2.5-7b,python,443,33.03,
