model,task,method,shot,score_min,score_max
gpt-20b,java,naive,3-shot,11.56,13.05
gpt-20b,java,retrieval,3-shot,13.08,13.91
gpt-20b,java,zero,0-shot,3.45,11.26
gpt-20b,python,naive,3-shot,10.75,13.33
gpt-20b,python,retrieval,3-shot,10.63,12.43
gpt-20b,python,zero,0-shot,5.23,11.34
qwen2.5-1.5b,java,naive,3-shot,12.52,15.86
qwen2.5-1.5b,java,retrieval,3-shot,13.91,17.17
qwen2.5-1.5b,java,zero,0-shot,2.7,12.37
qwen2.5-1.5b,python,naive,3-shot,13.06,16.37
qwen2.5-1.5b,python,retrieval,3-shot,12.41,15.8
qwen2.5-1.5b,python,zero,0-shot,2.47,12.42
qwen2.5-14b,java,naive,3-shot,15.76,15.99
qwen2.5-14b,java,retrieval,3-shot,16.43,17.2
qwen2.5-14b,java,zero,0-shot,3.23,12.83
qwen2.5-14b,python,naive,3-shot,15.92,16.4
qwen2.5-14b,python,retrieval,3-shot,15.2,16.06
qwen2.5-14b,python,zero,0-shot,2.5,13.34
qwen2.5-32b,java,naive,3-shot,13.62,15.22
qwen2.5-32b,java,retrieval,3-shot,13.39,15.59
qwen2.5-32b,java,zero,0-shot,1.66,11.86
qwen2.5-32b,python,naive,3-shot,13.78,15.89
qwen2.5-32b,python,retrieval,3-shot,11.41,14.52
qwen2.5-32b,python,zero,0-shot,0.63,12.09
qwen2.5-3b,java,naive,3-shot,14.94,15.87
qwen2.5-3b,java,retrieval,3-shot,16.87,17.25
qwen2.5-3b,java,zero,0-shot,4.25,13.21
qwen2.5-3b,python,naive,3-shot,15.96,16.94
qwen2.5-3b,python,retrieval,3-shot,15.35,16.12
qwen2.5-3b,python,zero,0-shot,3.69,13.27
qwen2.5-7b,java,naive,3-shot,15.13,15.87
qwen2.5-7b,java,retrieval,3-shot,15.79,16.75
qwen2.5-7b,java,zero,0-shot,1.76,12.88
qwen2.5-7b,python,naive,3-shot,15.16,16.36
qwen2.5-7b,python,retrieval,3-shot,14.07,15.52
qwen2.5-7b,python,zero,0-shot,0.26,12.71
