method,task,prompt,combined_sum,missing_info
naive,Cs2Java,79,66.13,
naive,Cs2Java,305,66.01,
naive,Cs2Java,612,65.92,
naive,Cs2Java,629,63.94,
naive,Cs2Java,1026,62.07,
naive,Java2Cs,79,62.26,
naive,Java2Cs,305,61.78,
naive,Java2Cs,612,60.73,
naive,Java2Cs,629,60.68,
naive,Java2Cs,1026,61.4,
retrieval,Cs2Java,79,74.75,
retrieval,Cs2Java,305,75.67,
retrieval,Cs2Java,612,75.12,
retrieval,Cs2Java,629,73.15,
retrieval,Cs2Java,1026,68.93,
retrieval,Java2Cs,79,73.26,
retrieval,Java2Cs,305,73.25,
retrieval,Java2Cs,612,71.89,
retrieval,Java2Cs,629,72.76,
retrieval,Java2Cs,1026,71.01,
zero,Cs2Java,79,46.2,
zero,Cs2Java,305,46.59,
zero,Cs2Java,612,45.61,
zero,Cs2Java,629,45.92,
zero,Cs2Java,1026,45.7,
zero,Java2Cs,79,39.78,
zero,Java2Cs,305,39.12,
zero,Java2Cs,612,38.31,
zero,Java2Cs,629,38.97,
zero,Java2Cs,1026,39.1,
