model,task,method,shot,bleu,bleu_79,bleu_305,bleu_612,bleu_629,bleu_1026,em,em_79,em_305,em_612,em_629,em_1026,codebleu,codebleu_79,codebleu_305,codebleu_612,codebleu_629,codebleu_1026
gpt-20b,Cs2Java,naive,3-shot,bleu,28.84,28.41,32.57,25.52,31.49,em,38.00,40.90,43.10,34.00,35.80,codebleu,62.84,58.23,62.17,57.68,63.74
gpt-20b,Cs2Java,retrieval,3-shot,bleu,43.06,41.64,41.32,40.49,39.25,em,58.80,59.70,59.50,56.70,56.00,codebleu,70.55,70.35,70.33,70.44,70.15
gpt-20b,Cs2Java,zero,0-shot,bleu,22.38,22.66,24.63,22.33,21.87,em,14.20,15.60,15.60,15.20,15.40,codebleu,54.76,55.45,54.17,54.03,55.43
gpt-20b,Java2Cs,naive,3-shot,bleu,44.36,42.53,34.17,31.35,38.38,em,35.40,35.60,35.10,32.50,36.30,codebleu,69.10,68.50,65.15,65.18,66.56
gpt-20b,Java2Cs,retrieval,3-shot,bleu,47.38,36.32,37.77,39.35,41.31,em,55.00,53.00,55.80,51.70,54.10,codebleu,74.58,70.94,71.17,71.06,72.75
gpt-20b,Java2Cs,zero,0-shot,bleu,36.65,29.32,33.92,31.22,26.10,em,6.30,8.40,8.50,8.60,9.20,codebleu,49.41,48.31,48.19,48.08,47.64
qwen2.5-1.5b,Cs2Java,naive,3-shot,bleu,78.76,79.15,69.71,79.07,78.26,em,45.80,45.10,45.50,43.80,44.60,codebleu,81.06,80.82,77.34,80.29,80.52
qwen2.5-1.5b,Cs2Java,retrieval,3-shot,bleu,80.74,81.97,74.91,83.60,75.37,em,55.50,58.80,59.00,56.70,52.10,codebleu,83.39,83.91,82.04,84.25,81.33
qwen2.5-1.5b,Cs2Java,zero,0-shot,bleu,56.28,54.14,47.58,58.83,57.16,em,17.30,16.20,13.10,16.30,13.90,codebleu,67.14,65.96,64.23,68.25,66.95
qwen2.5-1.5b,Java2Cs,naive,3-shot,bleu,76.51,76.80,75.14,76.95,75.03,em,35.00,32.70,33.00,32.60,32.10,codebleu,77.09,77.22,75.58,77.39,75.49
qwen2.5-1.5b,Java2Cs,retrieval,3-shot,bleu,75.80,83.42,73.60,85.40,71.62,em,41.80,52.20,38.60,53.10,35.30,codebleu,74.71,83.59,72.25,85.91,70.20
qwen2.5-1.5b,Java2Cs,zero,0-shot,bleu,56.17,55.89,50.17,55.39,55.21,em,8.00,7.10,4.60,8.00,8.20,codebleu,54.92,54.19,52.65,54.73,54.43
qwen2.5-14b,Cs2Java,naive,3-shot,bleu,82.38,82.43,82.67,81.96,72.70,em,48.70,49.50,49.90,48.60,35.50,codebleu,83.58,83.57,83.60,83.05,77.34
qwen2.5-14b,Cs2Java,retrieval,3-shot,bleu,86.42,89.20,88.98,84.57,78.53,em,62.90,67.10,67.00,60.40,51.00,codebleu,87.10,88.89,88.60,85.95,81.97
qwen2.5-14b,Cs2Java,zero,0-shot,bleu,63.90,64.42,61.33,61.57,63.32,em,22.50,23.00,22.20,22.50,23.20,codebleu,71.29,71.63,69.50,69.64,70.71
qwen2.5-14b,Java2Cs,naive,3-shot,bleu,79.64,79.76,79.57,79.57,79.68,em,37.20,36.90,36.80,37.40,37.10,codebleu,80.00,80.09,80.02,79.86,79.93
qwen2.5-14b,Java2Cs,retrieval,3-shot,bleu,88.84,88.41,88.77,87.95,88.12,em,63.20,62.40,62.40,61.30,60.80,codebleu,89.00,88.53,88.95,88.04,88.18
qwen2.5-14b,Java2Cs,zero,0-shot,bleu,59.07,59.02,56.49,56.68,58.81,em,11.10,11.20,10.50,10.60,11.10,codebleu,57.75,57.78,56.27,56.42,57.57
qwen2.5-32b,Cs2Java,naive,3-shot,bleu,81.15,82.52,82.62,81.09,79.59,em,50.20,49.30,49.20,39.20,27.50,codebleu,83.33,83.68,83.63,82.77,82.07
qwen2.5-32b,Cs2Java,retrieval,3-shot,bleu,87.97,88.02,88.45,82.73,79.64,em,65.20,64.90,66.30,53.90,42.00,codebleu,87.94,87.95,88.06,84.77,82.77
qwen2.5-32b,Cs2Java,zero,0-shot,bleu,60.61,62.17,62.15,60.82,62.79,em,22.70,21.90,22.90,22.80,22.60,codebleu,70.53,70.16,70.10,69.38,71.04
qwen2.5-32b,Java2Cs,naive,3-shot,bleu,79.84,79.92,80.14,80.12,80.02,em,39.50,37.50,37.60,37.50,39.00,codebleu,80.66,80.42,80.57,80.64,80.77
qwen2.5-32b,Java2Cs,retrieval,3-shot,bleu,87.16,88.28,88.60,86.75,87.47,em,60.70,59.50,61.40,55.30,57.50,codebleu,88.29,88.51,88.86,86.73,87.59
qwen2.5-32b,Java2Cs,zero,0-shot,bleu,59.27,58.96,57.47,57.67,59.21,em,11.50,10.10,11.00,9.50,11.40,codebleu,58.16,57.76,56.96,57.02,58.04
qwen2.5-3b,Cs2Java,naive,3-shot,bleu,81.27,81.08,81.24,76.97,74.43,em,47.20,47.50,47.30,42.20,41.50,codebleu,82.10,82.13,82.26,78.89,76.51
qwen2.5-3b,Cs2Java,retrieval,3-shot,bleu,87.54,88.17,87.42,86.75,83.17,em,64.30,64.10,64.20,62.90,56.80,codebleu,87.10,87.58,87.11,86.40,83.67
qwen2.5-3b,Cs2Java,zero,0-shot,bleu,60.10,60.27,58.32,58.20,56.01,em,15.40,16.40,14.50,10.70,9.30,codebleu,69.35,69.72,69.43,68.08,66.24
qwen2.5-3b,Java2Cs,naive,3-shot,bleu,77.98,77.82,76.53,77.82,77.39,em,36.60,35.50,34.70,32.60,36.20,codebleu,78.91,78.65,77.43,78.41,78.37
qwen2.5-3b,Java2Cs,retrieval,3-shot,bleu,86.57,86.10,86.50,85.36,86.65,em,58.60,55.30,57.20,54.00,57.70,codebleu,87.28,86.48,86.89,85.74,87.04
qwen2.5-3b,Java2Cs,zero,0-shot,bleu,58.42,58.59,58.15,58.72,58.28,em,8.60,7.70,7.80,8.30,8.30,codebleu,56.92,56.81,56.73,57.24,56.77
qwen2.5-7b,Cs2Java,naive,3-shot,bleu,82.36,81.84,81.95,82.42,82.29,em,49.20,48.90,49.10,49.90,50.00,codebleu,83.59,83.05,82.75,83.58,83.38
qwen2.5-7b,Cs2Java,retrieval,3-shot,bleu,86.84,87.86,87.45,86.59,83.86,em,63.30,64.20,64.20,62.70,58.40,codebleu,86.79,87.79,87.32,86.84,84.82
qwen2.5-7b,Cs2Java,zero,0-shot,bleu,57.13,60.30,61.52,59.00,58.72,em,19.40,19.50,20.40,20.80,20.30,codebleu,66.67,69.08,69.28,68.08,67.64
qwen2.5-7b,Java2Cs,naive,3-shot,bleu,78.88,78.44,78.41,78.76,79.06,em,34.60,34.50,34.10,34.30,34.20,codebleu,79.44,79.13,79.08,79.35,79.61
qwen2.5-7b,Java2Cs,retrieval,3-shot,bleu,88.58,87.78,87.16,86.70,86.42,em,62.20,59.80,60.40,58.20,58.70,codebleu,89.06,87.99,87.69,87.07,86.70
qwen2.5-7b,Java2Cs,zero,0-shot,bleu,57.80,57.36,55.76,57.41,57.76,em,9.00,9.00,8.80,9.00,8.80,codebleu,57.03,56.76,55.61,56.86,56.97
