method,task,prompt,combined_sum,missing_info
gpt-20b,Cs2Java,79,43.71,
gpt-20b,Cs2Java,305,43.66,
gpt-20b,Cs2Java,612,44.82,
gpt-20b,Cs2Java,629,41.82,
gpt-20b,Cs2Java,1026,43.24,
gpt-20b,Java2Cs,79,46.46,
gpt-20b,Java2Cs,305,43.66,
gpt-20b,Java2Cs,612,43.31,
gpt-20b,Java2Cs,629,42.12,
gpt-20b,Java2Cs,1026,43.59,
qwen2.5-1.5b,Cs2Java,79,62.89,
qwen2.5-1.5b,Cs2Java,305,62.89,
qwen2.5-1.5b,Cs2Java,612,59.27,
qwen2.5-1.5b,Cs2Java,629,63.45,
qwen2.5-1.5b,Cs2Java,1026,61.13,
qwen2.5-1.5b,Java2Cs,79,55.56,
qwen2.5-1.5b,Java2Cs,305,58.12,
qwen2.5-1.5b,Java2Cs,612,52.84,
qwen2.5-1.5b,Java2Cs,629,58.83,
qwen2.5-1.5b,Java2Cs,1026,53.06,
qwen2.5-14b,Cs2Java,79,67.64,
qwen2.5-14b,Cs2Java,305,68.86,
qwen2.5-14b,Cs2Java,612,68.2,
qwen2.5-14b,Cs2Java,629,66.47,
qwen2.5-14b,Cs2Java,1026,61.59,
qwen2.5-14b,Java2Cs,79,62.87,
qwen2.5-14b,Java2Cs,305,62.68,
qwen2.5-14b,Java2Cs,612,62.2,
qwen2.5-14b,Java2Cs,629,61.98,
qwen2.5-14b,Java2Cs,1026,62.37,
qwen2.5-32b,Cs2Java,79,67.74,
qwen2.5-32b,Cs2Java,305,67.84,
qwen2.5-32b,Cs2Java,612,68.16,
qwen2.5-32b,Cs2Java,629,64.16,
qwen2.5-32b,Cs2Java,1026,61.11,
qwen2.5-32b,Java2Cs,79,62.79,
qwen2.5-32b,Java2Cs,305,62.33,
qwen2.5-32b,Java2Cs,612,62.51,
qwen2.5-32b,Java2Cs,629,61.25,
qwen2.5-32b,Java2Cs,1026,62.33,
qwen2.5-3b,Cs2Java,79,66.04,
qwen2.5-3b,Cs2Java,305,66.33,
qwen2.5-3b,Cs2Java,612,65.75,
qwen2.5-3b,Cs2Java,629,63.45,
qwen2.5-3b,Cs2Java,1026,60.85,
qwen2.5-3b,Java2Cs,79,61.1,
qwen2.5-3b,Java2Cs,305,60.33,
qwen2.5-3b,Java2Cs,612,60.21,
qwen2.5-3b,Java2Cs,629,59.8,
qwen2.5-3b,Java2Cs,1026,60.74,
qwen2.5-7b,Cs2Java,79,66.14,
qwen2.5-7b,Cs2Java,305,66.95,
qwen2.5-7b,Cs2Java,612,67.11,
qwen2.5-7b,Cs2Java,629,66.66,
qwen2.5-7b,Cs2Java,1026,65.49,
qwen2.5-7b,Java2Cs,79,61.84,
qwen2.5-7b,Java2Cs,305,61.2,
qwen2.5-7b,Java2Cs,612,60.78,
qwen2.5-7b,Java2Cs,629,60.85,
qwen2.5-7b,Java2Cs,1026,60.91,
