model,task,method,shot,score_min,score_max
gpt-20b,Cs2Java,naive,3-shot,39.07,45.95
gpt-20b,Cs2Java,retrieval,3-shot,55.13,57.47
gpt-20b,Cs2Java,zero,0-shot,30.45,31.47
gpt-20b,Java2Cs,naive,3-shot,43.01,49.62
gpt-20b,Java2Cs,retrieval,3-shot,53.42,58.99
gpt-20b,Java2Cs,zero,0-shot,27.65,30.79
qwen2.5-1.5b,Cs2Java,naive,3-shot,64.18,68.54
qwen2.5-1.5b,Cs2Java,retrieval,3-shot,69.6,74.89
qwen2.5-1.5b,Cs2Java,zero,0-shot,41.64,47.79
qwen2.5-1.5b,Java2Cs,naive,3-shot,60.87,62.87
qwen2.5-1.5b,Java2Cs,retrieval,3-shot,59.04,74.8
qwen2.5-1.5b,Java2Cs,zero,0-shot,35.81,39.7
qwen2.5-14b,Cs2Java,naive,3-shot,61.85,72.06
qwen2.5-14b,Cs2Java,retrieval,3-shot,70.5,81.73
qwen2.5-14b,Cs2Java,zero,0-shot,51.01,53.02
qwen2.5-14b,Java2Cs,naive,3-shot,65.46,65.61
qwen2.5-14b,Java2Cs,retrieval,3-shot,79.03,80.35
qwen2.5-14b,Java2Cs,zero,0-shot,41.09,42.67
qwen2.5-32b,Cs2Java,naive,3-shot,63.05,71.83
qwen2.5-32b,Cs2Java,retrieval,3-shot,68.14,80.94
qwen2.5-32b,Cs2Java,zero,0-shot,51.0,52.14
qwen2.5-32b,Java2Cs,naive,3-shot,65.95,66.67
qwen2.5-32b,Java2Cs,retrieval,3-shot,76.26,79.62
qwen2.5-32b,Java2Cs,zero,0-shot,41.4,42.98
qwen2.5-3b,Cs2Java,naive,3-shot,64.15,70.27
qwen2.5-3b,Cs2Java,retrieval,3-shot,74.55,79.95
qwen2.5-3b,Cs2Java,zero,0-shot,43.85,48.8
qwen2.5-3b,Java2Cs,naive,3-shot,62.89,64.5
qwen2.5-3b,Java2Cs,retrieval,3-shot,75.03,77.48
qwen2.5-3b,Java2Cs,zero,0-shot,40.89,41.42
qwen2.5-7b,Cs2Java,naive,3-shot,71.26,71.97
qwen2.5-7b,Cs2Java,retrieval,3-shot,75.69,79.95
qwen2.5-7b,Cs2Java,zero,0-shot,47.73,50.4
qwen2.5-7b,Java2Cs,naive,3-shot,63.86,64.31
qwen2.5-7b,Java2Cs,retrieval,3-shot,77.27,79.95
qwen2.5-7b,Java2Cs,zero,0-shot,40.06,41.28
