Tokens: 748 |Length: 3624| Truncated: NO
Tokens: 799 |Length: 3767| Truncated: NO
Tokens: 724 |Length: 3526| Truncated: NO
Tokens: 801 |Length: 3777| Truncated: NO
Tokens: 737 |Length: 3620| Truncated: NO
Tokens: 842 |Length: 3934| Truncated: NO
Tokens: 741 |Length: 3603| Truncated: NO
Tokens: 787 |Length: 3794| Truncated: NO
Tokens: 731 |Length: 3552| Truncated: NO
Tokens: 706 |Length: 3448| Truncated: NO
Tokens: 767 |Length: 3666| Truncated: NO
Tokens: 727 |Length: 3514| Truncated: NO
Tokens: 728 |Length: 3531| Truncated: NO
Tokens: 709 |Length: 3465| Truncated: NO
Tokens: 720 |Length: 3488| Truncated: NO
Tokens: 797 |Length: 3864| Truncated: NO
Tokens: 758 |Length: 3651| Truncated: NO
Tokens: 728 |Length: 3536| Truncated: NO
Tokens: 739 |Length: 3594| Truncated: NO
Tokens: 701 |Length: 3409| Truncated: NO
Tokens: 797 |Length: 3787| Truncated: NO
Tokens: 774 |Length: 3686| Truncated: NO
Tokens: 765 |Length: 3713| Truncated: NO
Tokens: 729 |Length: 3557| Truncated: NO
Tokens: 714 |Length: 3472| Truncated: NO
Tokens: 778 |Length: 3726| Truncated: NO
Tokens: 746 |Length: 3604| Truncated: NO
Tokens: 714 |Length: 3457| Truncated: NO
Tokens: 704 |Length: 3433| Truncated: NO
Tokens: 747 |Length: 3628| Truncated: NO
Tokens: 750 |Length: 3652| Truncated: NO
Tokens: 732 |Length: 3577| Truncated: NO
Tokens: 726 |Length: 3526| Truncated: NO
Tokens: 704 |Length: 3439| Truncated: NO
Tokens: 736 |Length: 3623| Truncated: NO
Tokens: 707 |Length: 3446| Truncated: NO
Tokens: 744 |Length: 3634| Truncated: NO
Tokens: 765 |Length: 3692| Truncated: NO
Tokens: 718 |Length: 3503| Truncated: NO
Tokens: 835 |Length: 3919| Truncated: NO
Tokens: 712 |Length: 3475| Truncated: NO
Tokens: 835 |Length: 3925| Truncated: NO
Tokens: 745 |Length: 3578| Truncated: NO
Tokens: 725 |Length: 3519| Truncated: NO
Tokens: 800 |Length: 3762| Truncated: NO
Tokens: 801 |Length: 3651| Truncated: NO
Tokens: 732 |Length: 3558| Truncated: NO
Tokens: 735 |Length: 3521| Truncated: NO
Tokens: 713 |Length: 3475| Truncated: NO
